eventDate,cleanDate,sport,eventTime,vsOrAt,homeOrAway,opponent,opponentMascot,opponentComplete,location,postSlug,posterFile
2026-09-17,09/17,Girls Tennis,04:00 PM,@,Away,Boardman,Spartans,Boardman Spartans,Boardman High School,2026-09-17_girls-tennis,2026-09-17_girls-tennis.jpg
2026-09-17,09/17,Girls Soccer,05:00 PM,vs,Home,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,2026-09-17_girls-soccer,2026-09-17_girls-soccer.jpg
2026-09-17,09/17,Volleyball,07:00 PM,vs,Home,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,2026-09-17_volleyball,2026-09-17_volleyball.jpg
2026-09-17,09/17,Boys Soccer,07:00 PM,vs,Home,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,2026-09-17_boys-soccer,2026-09-17_boys-soccer.jpg
2026-09-18,09/18,Football,07:00 PM,vs,Home,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,2026-09-18_football,2026-09-18_football.jpg
2026-09-21,09/21,Girls Tennis,04:00 PM,@,Away,Girard,Indians,Girard Indians,Girard Sr High School,2026-09-21_girls-tennis,2026-09-21_girls-tennis.jpg
2026-09-21,09/21,Boys Soccer,05:00 PM,vs,Home,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,2026-09-21_boys-soccer,2026-09-21_boys-soccer.jpg
2026-09-21,09/21,Volleyball,07:00 PM,vs,Home,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,2026-09-21_volleyball,2026-09-21_volleyball.jpg
2026-09-21,09/21,Girls Soccer,07:00 PM,vs,Home,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,2026-09-21_girls-soccer,2026-09-21_girls-soccer.jpg
2026-09-22,09/22,Girls Tennis,04:00 PM,vs,Home,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,2026-09-22_girls-tennis,2026-09-22_girls-tennis.jpg
2026-09-22,09/22,Cross Country,04:45 PM,@,Away,Suburban Championships,-,Suburban Championships,Canfield Fairgrounds,2026-09-22_cross-country,2026-09-22_cross-country.jpg
2026-09-22,09/22,Volleyball,07:00 PM,@,Away,South Range,Raiders,South Range Raiders,South Range High School,2026-09-22_volleyball,2026-09-22_volleyball.jpg
2026-09-23,09/23,Girls Tennis,04:00 PM,vs,Home,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,2026-09-23_girls-tennis,2026-09-23_girls-tennis.jpg
2026-09-24,09/24,Girls Soccer,05:00 PM,@,Away,Struthers,Wildcats,Struthers Wildcats,Struthers High School,2026-09-24_girls-soccer,2026-09-24_girls-soccer.jpg
2026-09-24,09/24,Volleyball,07:00 PM,@,Away,Girard,Indians,Girard Indians,Girard Sr High School,2026-09-24_volleyball,2026-09-24_volleyball.jpg
2026-09-24,09/24,Boys Soccer,07:00 PM,vs,Home,Salem,Quakers,Salem Quakers,Poland Seminary High School,2026-09-24_boys-soccer,2026-09-24_boys-soccer.jpg
2026-09-25,09/25,Football,07:00 PM,@,Away,South Range,Raiders,South Range Raiders,South Range High School,2026-09-25_football,2026-09-25_football.jpg
2026-09-26,09/26,Cross Country,09:15 AM,@,Away,Sharpsville Invitational,-,Sharpsville Invitational,Buhl Park,2026-09-26_cross-country,2026-09-26_cross-country.jpg
2026-09-26,09/26,Girls Soccer,12:00 PM,@,Away,West Branch,Warriors,West Branch Warriors,West Branch High School,2026-09-26_girls-soccer,2026-09-26_girls-soccer.jpg
2026-09-28,09/28,Boys Soccer,05:00 PM,vs,Home,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,2026-09-28_boys-soccer,2026-09-28_boys-soccer.jpg
2026-09-28,09/28,Volleyball,06:45 PM,@,Away,Champion,Golden Flashes,Champion Golden Flashes,Champion High School,2026-09-28_volleyball,2026-09-28_volleyball.jpg
2026-09-28,09/28,Girls Soccer,07:00 PM,vs,Home,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,2026-09-28_girls-soccer,2026-09-28_girls-soccer.jpg
2026-09-29,09/29,Volleyball,07:00 PM,vs,Home,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,2026-09-29_volleyball,2026-09-29_volleyball.jpg
2026-09-30,09/30,Cross Country,04:45 PM,@,Away,Mahoning County Meet,-,Mahoning County Meet,Austintown Township Park,2026-09-30_cross-country,2026-09-30_cross-country.jpg
